Account adress,Show Boosts
@Abe_angele@mastodon.social,TRUE
@Aragorn_BG@mstdn.social,TRUE
@aquarium@mastodon.social,TRUE
@acnapyx@mastodon.social,TRUE
@a_tanas@mastodon.social,TRUE
@abozhilov@fosstodon.org,TRUE
@bogo@hapyyr.com,TRUE
@bebodebel@mastodon.social,TRUE
@btanev@mastodon.social,TRUE
@btanev@mastodon.social,TRUE
@Blinky@bg.cafe - bg.cafe,TRUE
@blum@bgtooter.social - TRUE
@bozho@mastodon.social,TRUE
@boris_@mastodon.social,TRUE
@bubulina@mstdn.social,TRUE
@cellfourteen@mastodon.social,TRUE
@d__b@mastodon.social,TRUE
@DaniIvanov@mastodon.social,TRUE
@danaildr@mastodon.social,TRUE
@dni@mastodon.social,TRUE
@dHardestBattles@mastodon.social,TRUE
@ddelsizov@mastodon.lol,TRUE
@dimitarcharov@c.im,TRUE
@dimi@eupolicy.social,TRUE
@evakeinbock@mastodon.social,TRUE
@Em_M@bg.cafe,TRUE
@face@bitcoinhackers.org,TRUE
@gyd1992@mastodon.lol,TRUE
@ivanangelov@mastodon.social,TRUE
@ju@mastodon.social,TRUE
@joannaelmy@c.im,TRUE
@kunev@mastodon.green,TRUE
@kido_bea@mastodon.social,TRUE
@karakusheva@mstdn.social,TRUE
@KostovKamen@mastodon.social,TRUE
@krassina@mas.to,TRUE
@ltinuviel@mastodon.lol,TRUE
@letterornumber@mastodon.social,TRUE
@lifeofmartina__@mastodon.socia,TRUE
@laveol@mastodon.lol,TRUE
@lanzz@c.im,TRUE
@lachezar@mastodon.nu,TRUE
@muiiio@mstdn.io,TRUE
@magesnik@mastodon.social,TRUE
@marticha@mastodon.social,TRUE
@molif@mastodon.social,TRUE
@milengg@mastodon.social,TRUE
@mviktoro@mastodon.social,TRUE
@nikoinikov@mastodon.social,TRUE
@Nevyana@mastodon.lol,TRUE
@nasakoto@mastodonbg.com,TRUE
@nsilizagluposti@c.im,TRUE
@optimiced@mastodon.social,TRUE
@petko@petko.me,TRUE
@preslavrachev@mastodon.social,TRUE
@Peio@c.im,TRUE
@potiridi@mastodon.lol,TRUE
@ralchev@mastodon.social,TRUE
@strahil@mastodon.social,TRUE
@simo_e_pich@mastodon.lol,TRUE
@svetyordanov@mastodon.social,TRUE
@shushi13bg@mastodon.social,TRUE
@Simona_Lyubomirova@bg.cafe,TRUE
@sabina@toot.wales,TRUE
@torbalan@mastodon.nl,TRUE
@todoralexandrov@mastodon.social,TRUE
@tsvetelin@mstdn.io,TRUE
@tweykini@mastodon.lol,TRUE
@todoralexandrov@mastodon.social,TRUE
@traffopost@bg.cafe,TRUE
@uesnonema@mastodon.online,TRUE
@Vachwarz@mastodon.social,TRUE
@vihargg@mast.to,TRUE
@yellowtulip@mastodon.social,TRUE
@YavorDonev@mastodon.social,TRUE
@yovko@mastodon.sdf.org,TRUE
@yurukov@mastodon.green,TRUE
@yellowtulip@mastodon.social,TRUE
@yulimoto@nerdculture.de,TRUE
@fipo@bg.cafe,TRUE
